Symbol,Sector,Industry,IPO Date,Current price,30D Avg Vol,SMA 50,SMA 150,SMA 200,Month ago SMA 200,52 Week low,52 Week high,growth_in_qtr,growth_in_yr,RS Rating,EPS_Q,EPS_A,REV_Q,ROE
SMCI,Technology,Computer Hardware,2007-03-29,972.739990234375,13327303.333333334,768.8305908203125,439.24913045247393,398.2776976013184,314.8000493621826,93.27999877929688,1188.0699462890625,222.01404709797598,777.1325309742062,478.967009369377,62,115,103,29.918
VRT,Industrials,Electrical Equipment & Parts,2018-08-02,82.5,8750370.0,63.514599838256835,48.73826662699381,43.25755000114441,37.73320004940033,12.180000305175781,82.5,74.60317460317461,525.4738637194297,305.11729978680256,857,3075,13,26.626
NVDA,Technology,Semiconductors,1999-01-22,942.8900146484375,60015690.0,740.111796875,555.3089333089192,524.8847500610351,471.6150003051758,262.4100036621094,942.8900146484375,95.98221682292407,255.39181460366947,237.98233132943983,1230,586,265,91.458
POWL,Industrials,Electrical Equipment & Parts,1980-03-17,145.00999450683594,423453.3333333333,133.6218017578125,99.78473403930664,91.19315050125122,80.82080028533936,39.029998779296875,185.24000549316406,60.00220556264788,249.67443992850042,219.76554099320632,1880,291,53,23.3
MMYT,Consumer Cyclical,Travel Services,2010-08-12,68.7300033569336,826473.3333333334,57.44419967651367,46.71499987284342,42.47604990959167,38.8609499168396,22.510000228881836,68.7300033569336,53.79280704622151,189.02439601497295,203.49251172556197,21900,76,25,5.58
STRL,Industrials,Engineering & Construction,1991-07-12,112.02999877929688,413040.0,90.72120010375977,79.62386665344238,74.78375,68.49804990768433,34.63999938964844,112.02999877929688,37.79827130876674,191.59293107371917,184.640545021167,307,28,67,25.933
ELF,Consumer Defensive,Household & Personal Products,2016-09-22,205.60000610351562,1280393.3333333333,180.7385989379883,140.03046635945637,133.96429981231688,123.13739997863769,78.91999816894531,217.39999389648438,42.13620102234419,159.23592539719795,183.12334935107063,35,171,85,25.889
META,Communication Services,Internet Content & Information,2012-05-18,509.5799865722656,16073683.333333334,455.1155993652344,364.5149997965495,347.30449996948244,322.8239002227783,200.67999267578125,512.1900024414062,45.894408025997265,151.22263644858674,177.1232588957413,203,73,24,28.038999999999998
UBER,Technology,Software—Application,2019-05-10,80.2300033569336,19081296.666666668,73.05200019836425,58.28506660461426,54.80494997024536,50.805399913787845,29.59000015258789,81.38999938964844,32.2181986707905,162.01829248200056,176.4999184489309,128,119,15,20.353001000000003
AEO,Consumer Cyclical,Apparel Retail,1994-04-14,25.43000030517578,5122146.666666667,22.187399978637696,19.36206667582194,17.79939999580383,16.61939998626709,10.170000076293945,25.8799991607666,23.44660113720567,95.76597962470015,164.18577081675073,75,34,12,10.1940006
AROC,Energy,Oil & Gas Equipment & Services,2007-08-21,19.350000381469727,1446203.3333333333,17.172000045776368,14.779933331807454,13.833999986648559,12.935149970054626,9.0,19.790000915527344,26.38798073889388,101.35276870717584,159.3614427204408,657,139,19,12.126000000000001
ROAD,Industrials,Engineering & Construction,2018-05-04,54.75,357916.6666666667,47.42580017089844,41.95713338216146,39.37350004196167,37.195250024795534,24.360000610351562,54.75,25.919964527175377,104.29105059185457,154.92056009344554,375,129,16,11.623
ETN,Industrials,Specialty Industrial Machinery,1972-06-01,316.5799865722656,1856623.3333333333,275.3197982788086,239.9864661661784,231.05119979858398,218.76280006408692,156.25,316.5799865722656,35.31950874199159,93.17792112506098,153.34435900242946,31,31,11,17.834
WFRD,Energy,Oil & Gas Equipment & Services,2021-01-04,117.0,741196.6666666666,101.39480056762696,95.34513361612956,89.89420009613038,84.87605005264282,56.380001068115234,117.0,21.862303298344287,107.52039337254891,151.1022760431705,382,1472,13,60.964
MCY,Financial Services,Insurance—Property & Casualty,1985-11-20,48.40999984741211,252933.33333333334,44.48959968566894,36.87673325856527,35.24309991836548,33.435299949645994,27.700000762939453,50.77000045776367,29.71597064114104,58.20261190822562,149.42197345366162,1433,119,19,6.2750004
PLMR,Financial Services,Insurance—Property & Casualty,2019-04-17,81.69999694824219,200173.33333333334,68.99360008239746,59.421466725667315,59.05655006408691,56.38445003509521,47.029998779296875,83.69000244140625,40.886350376809055,51.49266917471398,146.97535919396472,40,55,19,18.505
PCAR,Industrials,Farm & Heavy Construction Machinery,1980-03-17,123.75,2320360.0,107.90600021362305,95.0041335550944,92.0889001083374,87.67230010986329,68.4800033569336,124.41999816894531,29.04066530865037,74.44318542589959,145.1837867887224,53,52,12,31.680000000000003
ASML,Technology,Semiconductor Equipment & Materials,1995-03-15,979.9600219726562,1125553.3333333333,904.6970031738281,737.4955346679687,729.5491506958008,701.3718005371094,570.5999755859375,1047.3900146484375,34.31285777982638,52.15589481350422,143.10969854489372,320,41,13,70.421
HWM,Industrials,Aerospace & Defense,2016-11-01,68.0999984741211,3761900.0,61.8447998046875,53.38213320414225,52.21114992141724,49.93534994125366,40.7599983215332,69.37999725341797,29.172983492607063,67.07556741518405,141.46691186111087,492,65,14,20.031
AMZN,Consumer Cyclical,Internet Retail,1997-05-15,178.8699951171875,41180556.666666664,168.43619842529296,148.98759969075522,144.46104995727538,138.56285018920897,97.23999786376953,178.8699951171875,17.584802036966153,82.445933748312,138.43992298879306,3233,1174,14,17.49
NOW,Technology,Software—Application,2012-06-29,774.1500244140625,1263390.0,766.2966003417969,666.8801322428385,640.5809994506836,614.6815502929687,429.0799865722656,812.9400024414062,11.58115278679861,79.48807790129968,136.35398464695288,93,426,26,27.345999999999997
GRMN,Technology,Scientific & Technical Instruments,2000-12-08,147.2899932861328,1239766.6666666667,131.68239959716797,119.30413289388021,115.80149974822999,111.93444988250732,95.19999694824219,148.4499969482422,16.850448012804552,52.79044704848093,133.23781881389425,254,33,13,19.516
JPM,Financial Services,Banks—Diversified,1980-03-17,196.6199951171875,8106763.333333333,180.3187991333008,161.13379964192708,158.05159973144532,152.81314987182617,127.47000122070312,199.05999755859375,18.054633151873922,53.02357125951567,132.9401935374084,369,34,12,15.979
SNPS,Technology,Software—Infrastructure,1992-02-26,594.2000122070312,1105350.0,555.7290020751954,513.6348693847656,495.2527516174316,478.6788012695313,364.5299987792969,602.010009765625,7.699565678177045,58.91099456270994,131.5725731570189,65,26,21,22.538
MANH,Technology,Software—Application,1998-04-23,250.83999633789062,367546.6666666667,242.03939971923828,218.53039957682293,211.94964973449706,204.30354972839356,148.2899932861328,266.0299987792969,15.090617045275302,69.15503924387032,131.04667893644887,342,39,20,69.917
LPG,Energy,Oil & Gas Midstream,2014-05-08,38.040000915527344,782890.0,37.59000015258789,35.72186669667562,33.25520000457764,31.85185002326965,19.520000457763672,47.79999923706055,0.0,83.41369978460939,126.9947110361429,94,141,58,33.405998
WWD,Industrials,Aerospace & Defense,1994-04-04,148.57000732421875,306003.3333333333,140.79919952392578,133.5503330485026,130.14524971008302,126.45049964904786,91.77999877929688,149.4199981689453,10.06816715575507,58.40708590890134,124.01430906424432,198,39,27,14.181
